chrom	length	bases	mean	min	max
mt	53563	20058542	374.49	79	688
scaffold_1	421917	8613244	20.41	0	44
scaffold_2	389223	7821685	20.10	3	70
scaffold_3	385237	7480525	19.42	0	273
scaffold_4	366866	7252368	19.77	1	93
scaffold_5	342061	6755373	19.75	0	42
scaffold_6	337945	6938045	20.53	4	44
scaffold_7	334088	6570577	19.67	1	43
scaffold_8	328214	6309469	19.22	0	127
scaffold_9	314972	6522785	20.71	1	48
scaffold_10	287891	5820974	20.22	0	71
scaffold_11	283909	5645128	19.88	1	590
scaffold_12	283816	5740650	20.23	0	42
scaffold_13	283419	5552968	19.59	0	245
scaffold_14	271811	5463207	20.10	0	140
scaffold_15	270337	5707922	21.11	2	88
scaffold_16	270242	5357027	19.82	1	42
scaffold_17	264417	5390180	20.39	0	96
scaffold_18	258809	4967861	19.20	0	53
scaffold_19	258126	5049261	19.56	0	46
scaffold_20	257338	4975467	19.33	0	43
scaffold_21	233085	4799587	20.59	2	98
scaffold_22	228700	4704128	20.57	1	75
scaffold_23	225777	4504058	19.95	0	44
scaffold_24	220907	4479180	20.28	1	53
scaffold_25	216714	4362378	20.13	0	48
scaffold_26	215149	4505325	20.94	0	46
scaffold_27	209085	4097249	19.60	1	47
scaffold_28	204984	3994168	19.49	2	41
scaffold_29	199558	4013981	20.11	2	41
scaffold_30	198950	3973706	19.97	1	43
scaffold_31	187069	3644381	19.48	1	41
scaffold_32	180744	3671085	20.31	0	69
scaffold_33	177631	3705393	20.86	0	85
scaffold_34	169226	3198140	18.90	0	45
scaffold_35	167994	3399692	20.24	1	43
scaffold_36	165469	3330244	20.13	0	42
scaffold_37	165418	3214199	19.43	2	41
scaffold_38	165114	3317872	20.09	1	45
scaffold_39	163014	3392032	20.81	1	46
scaffold_40	158739	3209331	20.22	1	43
scaffold_41	152809	3087395	20.20	1	44
scaffold_42	151826	2796409	18.42	0	97
scaffold_43	148278	2978634	20.09	1	46
scaffold_44	144272	2807843	19.46	0	59
scaffold_45	142155	2759041	19.41	2	43
scaffold_46	139662	2682487	19.21	0	42
scaffold_47	138515	2873450	20.74	1	43
scaffold_48	137980	2800041	20.29	0	41
scaffold_49	137056	2758560	20.13	1	42
scaffold_50	136848	2845067	20.79	2	47
scaffold_51	136529	2654778	19.44	0	41
scaffold_52	131894	2593722	19.67	0	50
scaffold_53	130731	2505744	19.17	0	44
scaffold_54	126581	2495710	19.72	2	41
scaffold_55	124077	2468853	19.90	0	45
scaffold_56	123415	2561987	20.76	1	45
scaffold_57	123125	2386921	19.39	0	56
scaffold_58	121072	2424416	20.02	1	57
scaffold_59	120498	2280304	18.92	0	51
scaffold_60	119873	2617952	21.84	0	87
scaffold_61	119313	2298780	19.27	1	40
scaffold_62	119158	2238444	18.79	0	44
scaffold_63	118351	2200930	18.60	0	48
scaffold_64	118285	2374594	20.08	2	42
scaffold_65	112487	2305217	20.49	3	52
scaffold_66	112317	2378188	21.17	0	42
scaffold_67	111274	2412530	21.68	1	53
scaffold_68	108915	2023224	18.58	0	40
scaffold_69	108581	2142071	19.73	1	44
scaffold_70	107488	2095389	19.49	0	43
scaffold_71	106903	2131471	19.94	1	44
scaffold_72	106309	2092528	19.68	2	42
scaffold_73	105928	1896917	17.91	1	79
scaffold_74	105714	2082841	19.70	1	40
scaffold_75	104529	2768994	26.49	0	321
scaffold_76	104271	2134640	20.47	1	65
scaffold_77	101345	1988030	19.62	1	39
scaffold_78	101161	2087713	20.64	1	42
scaffold_79	100763	2002164	19.87	1	43
scaffold_80	100759	2018948	20.04	1	360
scaffold_81	100738	2009221	19.95	2	63
scaffold_82	92405	1969089	21.31	1	56
scaffold_83	92362	1800543	19.49	1	40
scaffold_84	90343	1972365	21.83	3	57
scaffold_85	89636	1826144	20.37	4	40
scaffold_86	89401	1805601	20.20	1	44
scaffold_87	87176	1676394	19.23	0	40
scaffold_88	86996	1703174	19.58	1	42
scaffold_89	84787	1917686	22.62	3	44
scaffold_90	83974	1714058	20.41	1	40
scaffold_91	82746	1682083	20.33	1	40
scaffold_92	80193	1460634	18.21	1	40
scaffold_93	77178	1441165	18.67	2	43
scaffold_94	76571	1583448	20.68	1	48
scaffold_95	73126	1507185	20.61	0	39
scaffold_96	72452	1369864	18.91	1	43
scaffold_97	71549	1447254	20.23	4	68
scaffold_98	71546	1546641	21.62	2	52
scaffold_99	70807	1512274	21.36	3	65
scaffold_100	70085	1316523	18.78	0	44
scaffold_101	69086	1459776	21.13	3	52
scaffold_102	67845	1318772	19.44	2	40
scaffold_103	67067	1325118	19.76	0	42
scaffold_104	65979	1241480	18.82	1	40
scaffold_105	65772	1267842	19.28	1	48
scaffold_106	65638	1245717	18.98	1	40
scaffold_107	65621	1166469	17.78	1	43
scaffold_108	65137	1344258	20.64	1	42
scaffold_109	64973	1291690	19.88	1	43
scaffold_110	64650	1258464	19.47	2	42
scaffold_111	64590	1563527	24.21	1	56
scaffold_112	63922	1270494	19.88	1	41
scaffold_113	62375	1251088	20.06	2	168
scaffold_114	61905	1142631	18.46	0	41
scaffold_115	59011	1070059	18.13	1	88
scaffold_116	58593	1204143	20.55	1	41
scaffold_117	56727	1146177	20.21	1	58
scaffold_118	56407	1063589	18.86	2	38
scaffold_119	56404	1016025	18.01	0	42
scaffold_120	56114	1188970	21.19	0	42
scaffold_121	56112	1070084	19.07	0	44
scaffold_122	55078	1163683	21.13	1	45
scaffold_123	52120	983642	18.87	2	38
scaffold_124	51881	1139392	21.96	3	65
scaffold_125	51409	1012400	19.69	1	40
scaffold_126	51216	1168879	22.82	3	67
scaffold_127	49626	1041679	20.99	1	41
scaffold_128	47863	908957	18.99	2	38
scaffold_129	47838	891360	18.63	1	41
scaffold_130	46848	938235	20.03	1	81
scaffold_131	45804	875613	19.12	1	35
scaffold_132	45236	799639	17.68	1	36
scaffold_133	45082	799021	17.72	2	57
scaffold_134	43447	816516	18.79	2	37
scaffold_135	41758	918663	22.00	2	52
scaffold_136	41638	816152	19.60	1	38
scaffold_137	40090	803672	20.05	0	50
scaffold_138	40055	744806	18.59	0	37
scaffold_139	40053	800639	19.99	1	59
scaffold_140	39512	636565	16.11	0	38
scaffold_141	38466	722023	18.77	0	39
scaffold_142	37631	735419	19.54	3	39
scaffold_143	36611	744483	20.33	1	94
scaffold_144	35723	670677	18.77	2	39
scaffold_145	35542	851845	23.97	0	47
scaffold_146	35394	723643	20.45	0	38
scaffold_147	34657	669716	19.32	0	36
scaffold_148	34432	745504	21.65	1	39
scaffold_149	34237	886938	25.91	0	643
scaffold_150	34190	644277	18.84	1	41
scaffold_151	33952	734880	21.64	1	41
scaffold_152	32930	686697	20.85	1	40
scaffold_153	32272	637992	19.77	3	39
scaffold_154	32080	646015	20.14	1	39
scaffold_155	32028	641473	20.03	1	42
scaffold_156	31945	708266	22.17	3	52
scaffold_157	31713	630426	19.88	1	39
scaffold_158	31130	605033	19.44	2	44
scaffold_159	30755	684060	22.24	4	45
scaffold_160	30072	739160	24.58	5	112
scaffold_161	29730	560072	18.84	1	43
scaffold_162	28021	666329	23.78	0	214
scaffold_163	27834	664795	23.88	3	49
scaffold_164	27562	562956	20.43	2	38
scaffold_165	27392	517886	18.91	1	33
scaffold_166	26321	646019	24.54	2	84
scaffold_167	25968	620273	23.89	0	98
scaffold_168	25918	557366	21.50	2	43
scaffold_170	25729	432032	16.79	1	34
scaffold_171	24137	623311	25.82	2	54
scaffold_172	23800	423535	17.80	1	40
scaffold_173	23322	477861	20.49	2	109
scaffold_174	23306	531681	22.81	2	48
scaffold_175	22056	428571	19.43	1	38
scaffold_176	22024	377840	17.16	1	35
scaffold_177	21667	406755	18.77	0	37
scaffold_178	21620	644529	29.81	4	488
scaffold_179	21420	400936	18.72	2	37
scaffold_180	20979	424592	20.24	1	42
scaffold_181	20833	391155	18.78	0	80
scaffold_182	20768	405630	19.53	1	37
scaffold_183	20607	444993	21.59	2	49
scaffold_184	20415	486803	23.85	4	45
scaffold_185	19147	333553	17.42	1	33
scaffold_186	19050	452118	23.73	1	47
scaffold_187	18926	322037	17.02	0	37
scaffold_188	18549	465137	25.08	2	102
scaffold_189	18244	422731	23.17	2	55
scaffold_190	17972	289560	16.11	0	36
scaffold_191	17965	335990	18.70	0	36
scaffold_192	17314	389661	22.51	1	42
scaffold_193	16848	322769	19.16	1	37
scaffold_194	16511	349811	21.19	3	42
scaffold_195	16201	357113	22.04	2	47
scaffold_196	15962	286808	17.97	1	35
scaffold_197	15789	427982	27.11	2	71
scaffold_198	15741	471746	29.97	1	236
scaffold_199	15706	317023	20.18	0	41
scaffold_200	15434	377213	24.44	0	52
scaffold_201	15416	390359	25.32	2	42
scaffold_202	15217	208695	13.71	1	33
scaffold_203	15170	405563	26.73	5	60
scaffold_204	14996	388704	25.92	3	43
scaffold_205	14993	400840	26.74	1	46
scaffold_206	14877	1324322	89.02	0	1285
scaffold_207	14478	325216	22.46	2	64
scaffold_208	14298	374618	26.20	2	45
scaffold_209	14280	391299	27.40	2	139
scaffold_210	14127	251293	17.79	3	59
scaffold_211	13870	263329	18.99	1	41
scaffold_212	13788	337830	24.50	1	48
scaffold_213	13682	227858	16.65	1	173
scaffold_214	13474	321793	23.88	1	63
scaffold_215	13236	327373	24.73	1	50
scaffold_216	13171	339733	25.79	5	84
scaffold_217	13070	212315	16.24	1	296
scaffold_218	12750	338826	26.57	1	58
scaffold_219	12255	328260	26.79	0	47
scaffold_220	12199	327097	26.81	2	71
scaffold_221	12154	286478	23.57	1	80
scaffold_222	12143	299684	24.68	1	42
scaffold_223	11724	283254	24.16	2	172
scaffold_224	11719	273926	23.37	3	39
scaffold_225	11543	263970	22.87	1	44
scaffold_226	11314	251522	22.23	1	50
scaffold_227	11213	244550	21.81	0	42
scaffold_228	11211	268434	23.94	3	126
scaffold_229	10819	161628	14.94	2	34
scaffold_230	10700	488213	45.63	3	670
scaffold_232	10386	250451	24.11	0	41
scaffold_233	10153	268587	26.45	3	41
scaffold_234	10029	227526	22.69	2	51
scaffold_235	10024	230781	23.02	0	51
scaffold_236	10016	267402	26.70	1	42
scaffold_237	9763	177128	18.14	1	35
scaffold_238	9581	238919	24.94	4	45
scaffold_239	9562	229942	24.05	4	64
scaffold_240	9528	5817463	610.56	1	1010
scaffold_241	9395	230849	24.57	2	66
scaffold_242	9233	131946	14.29	2	31
scaffold_243	9124	164930	18.08	1	42
scaffold_244	9067	213685	23.57	3	42
scaffold_245	8921	184447	20.68	1	34
scaffold_246	8869	213357	24.06	3	38
scaffold_247	8853	136745	15.45	2	40
scaffold_248	8752	223090	25.49	1	54
scaffold_249	8540	241370	28.26	2	59
scaffold_250	8530	205473	24.09	2	64
scaffold_251	8480	261181	30.80	2	208
scaffold_252	8305	149026	17.94	3	32
scaffold_253	8300	130590	15.73	0	33
scaffold_254	8175	210295	25.72	3	53
scaffold_255	8115	194535	23.97	1	51
scaffold_256	8067	441940	54.78	5	184
scaffold_257	7977	208782	26.17	8	42
scaffold_258	7966	196832	24.71	0	38
scaffold_259	7937	200227	25.23	1	38
scaffold_261	7618	178983	23.49	1	43
scaffold_262	7581	102720	13.55	2	25
scaffold_263	7434	597412	80.36	1	1049
scaffold_264	7273	132834	18.26	1	35
scaffold_265	7269	187259	25.76	2	60
scaffold_266	7236	184747	25.53	1	85
scaffold_267	6754	150977	22.35	2	141
scaffold_268	6652	204360	30.72	6	309
scaffold_269	6600	164892	24.98	1	45
scaffold_270	6495	135155	20.81	1	48
scaffold_271	6495	147802	22.76	5	38
scaffold_272	6393	166922	26.11	0	43
scaffold_273	6376	192748	30.23	4	81
scaffold_274	6354	254509	40.05	3	389
scaffold_275	6322	83754	13.25	0	26
scaffold_276	6258	76959	12.30	1	24
scaffold_277	6244	90129	14.43	0	32
scaffold_278	6184	166616	26.94	8	47
scaffold_279	6118	141597	23.14	3	37
scaffold_280	6091	149443	24.54	0	39
scaffold_281	6025	156150	25.92	2	86
scaffold_282	5955	558317	93.76	1	1615
scaffold_283	5954	139386	23.41	3	37
scaffold_284	5857	62694	10.70	1	22
scaffold_285	5843	83251	14.25	2	31
scaffold_286	5822	163736	28.12	2	47
scaffold_287	5743	139046	24.21	2	55
scaffold_288	5719	80574	14.09	0	33
scaffold_289	5711	103771	18.17	3	38
scaffold_290	5659	138923	24.55	0	61
scaffold_291	5498	120430	21.90	1	35
scaffold_292	5370	136773	25.47	4	44
