chrom	length	bases	mean	min	max
MWKM01000001.1	3145143	67040070	21.32	0	597
MWKM01000001.1_region	3145143	67040070	21.32	0	597
MWKM01000002.1	1931404	41086557	21.27	0	133
MWKM01000002.1_region	1931404	41086557	21.27	0	133
MWKM01000003.1	1865056	40289151	21.60	0	473
MWKM01000003.1_region	1865056	40289151	21.60	0	473
MWKM01000004.1	1783884	38478322	21.57	0	374
MWKM01000004.1_region	1783884	38478322	21.57	0	374
MWKM01000005.1	1732373	36335210	20.97	0	182
MWKM01000005.1_region	1732373	36335210	20.97	0	182
MWKM01000006.1	1499889	32717508	21.81	0	481
MWKM01000006.1_region	1499889	32717508	21.81	0	481
MWKM01000007.1	1353353	30642032	22.64	0	352
MWKM01000007.1_region	1353353	30642032	22.64	0	352
MWKM01000008.1	1298916	27130759	20.89	0	218
MWKM01000008.1_region	1298916	27130759	20.89	0	218
MWKM01000009.1	1275601	27215758	21.34	0	88
MWKM01000009.1_region	1275601	27215758	21.34	0	88
MWKM01000010.1	1142148	26928787	23.58	0	524
MWKM01000010.1_region	1142148	26928787	23.58	0	524
MWKM01000011.1	1093275	23627500	21.61	0	83
MWKM01000011.1_region	1093275	23627500	21.61	0	83
MWKM01000012.1	982140	21806753	22.20	0	313
MWKM01000012.1_region	982140	21806753	22.20	0	313
MWKM01000013.1	857040	19294876	22.51	0	447
MWKM01000013.1_region	857040	19294876	22.51	0	447
MWKM01000014.1	430876	8990539	20.87	0	48
MWKM01000014.1_region	430876	8990539	20.87	0	48
MWKM01000015.1	258646	5304498	20.51	0	102
MWKM01000015.1_region	258646	5304498	20.51	0	102
MWKM01000016.1	219957	4784782	21.75	0	56
MWKM01000016.1_region	219957	4784782	21.75	0	56
MWKM01000017.1	219129	5029351	22.95	0	416
MWKM01000017.1_region	219129	5029351	22.95	0	416
MWKM01000018.1	153349	4452294	29.03	0	288
MWKM01000018.1_region	153349	4452294	29.03	0	288
MWKM01000019.1	129460	2638406	20.38	0	133
MWKM01000019.1_region	129460	2638406	20.38	0	133
MWKM01000020.1	114967	3075624	26.75	0	139
MWKM01000020.1_region	114967	3075624	26.75	0	139
MWKM01000021.1	68755	2082419	30.29	0	300
MWKM01000021.1_region	68755	2082419	30.29	0	300
MWKM01000022.1	47680	18558271	389.23	0	812
MWKM01000022.1_region	47680	18558271	389.23	0	812
MWKM01000023.1	33788	1023248	30.28	0	231
MWKM01000023.1_region	33788	1023248	30.28	0	231
MWKM01000024.1	31390	961911	30.64	0	306
MWKM01000024.1_region	31390	961911	30.64	0	306
MWKM01000025.1	28777	814858	28.32	0	112
MWKM01000025.1_region	28777	814858	28.32	0	112
MWKM01000026.1	24752	600609	24.27	0	107
MWKM01000026.1_region	24752	600609	24.27	0	107
MWKM01000027.1	24716	1039955	42.08	0	363
MWKM01000027.1_region	24716	1039955	42.08	0	363
MWKM01000028.1	21408	898164	41.95	0	241
MWKM01000028.1_region	21408	898164	41.95	0	241
MWKM01000029.1	19334	677712	35.05	0	341
MWKM01000029.1_region	19334	677712	35.05	0	341
MWKM01000030.1	17840	606297	33.99	0	125
MWKM01000030.1_region	17840	606297	33.99	0	125
MWKM01000031.1	16083	529174	32.90	0	148
MWKM01000031.1_region	16083	529174	32.90	0	148
MWKM01000032.1	13962	428020	30.66	0	120
MWKM01000032.1_region	13962	428020	30.66	0	120
MWKM01000033.1	7983	5795264	725.95	52	1120
MWKM01000033.1_region	7983	5795264	725.95	52	1120
MWKM01000034.1	5729	350388	61.16	23	92
MWKM01000034.1_region	5729	350388	61.16	23	92
MWKM01000035.1	5045	44868	8.89	0	26
MWKM01000035.1_region	5045	44868	8.89	0	26
MWKM01000036.1	4362	9906	2.27	0	23
MWKM01000036.1_region	4362	9906	2.27	0	23
MWKM01000037.1	2440	53569	21.95	11	32
MWKM01000037.1_region	2440	53569	21.95	11	32
MWKM01000038.1	2192	21253	9.70	0	19
MWKM01000038.1_region	2192	21253	9.70	0	19
MWKM01000039.1	2186	21899	10.02	0	21
MWKM01000039.1_region	2186	21899	10.02	0	21
total	21865028	501386562	22.93	0	1120
total_region	21865028	501386562	22.93	0	1120
